 ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total core FTE web only,0.0,0.1,0.8,0.6,1.9,2.3,2.4,2.1,1.8,2.5,2.6,4.7
Total core FTE marketing only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
Total core FTE research only,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.4,0.2,0.0
Total core FTE,0.0,0.2,0.9,0.7,2.1,2.4,2.5,2.2,2.0,2.9,3.0,5.8
Year on year growth rate,N/A,N/A,+435%,-21%,+189%,+17%,+2%,-10%,-11%,+48%,+2%,+91%
Unique visitors,Unknown,"51,189","99,541","156,904","541,383","978,872","1,585,559","1,626,966","1,486,951","1,695,973","1,297,367","1,981,694"
Year on year growth rate,NA,NA,+94%,+58%,+245%,+81%,+62%,+3%,-9%,+14%,-24%,+53%
Number of articles released,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27,38
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+41%
Site engagement hours,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"145,721","99,696","108,737","86,820","119,647"
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,-32%,+9%,-20%,+38%
New newsletter subscribers ,706,"1,226",1943,2283,23271,"80,157","86,610","64,387","33,025","31,921","33,849","170,878"
Year on year growth rate,NA,+74%,+58%,+17%,+919%,+244%,+8%,-26%,-49%,-3%,+6%,+405%
Total newsletter subscribers at end of period,Unknown,Unknown,Unknown,Unknown,Unknown,"89,804","149,151","182,427","178,630","179,337","170,725","279,037"
Year on year growth rate,NA,NA,NA,NA,NA,NA,+66%,+22%,-2%,+0%,-5%,+63%
# of pubs in units,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28.75,23.75
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17%
# of promos in units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,20
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+38%
# of web hits (stage 1 of funnel),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"2,473,969","2,861,077","2,308,583","3,789,022"
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+16%,-19%,+64%
# of hits > 30 sec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"1,284,808","1,529,856","1,120,688","1,023,143"
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+19%,-27%,-9%
# of eng hours on site as a whole (stage 3 of funnel),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"99,695","108,737","86,820","119,150"
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+9%,-20%,+37%
# of eng hours on core core content,NA,NA,NA,NA,NA,NA,NA,NA,"61,506","64,635","53,067","65,476"
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+5%,-18%,+23%
,,,,,,,,,,,,
,,,,,,,,,,,,
Podcast,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total core FTE direct only,,,,,,0.0,0.3,1.0,1.3,1.5,2.0,2.0
Year on year growth rate,,,,,,NA,+1400%,+233%,+30%,+15%,+33%,
Number of episodes released,,,,,,Unknown,Unknown,32,20,34,34,37
Year on year growth rate,,,,,,NA,NA,NA,-38%,+70%,0%,+9%
Hours of content released,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,85,76
Year on year growth rate,,,,,,NA,NA,NA,NA,NA,NA,-11%
Total listening time estimate in hours using March 2022 method (40% Apple up to Nov 2019 then '75% in the Big 3'),,,,,,Unknown,"6,418","79,706","115,834","121,362","186,550","262,596"
Year on year growth rate,,,,,,NA,NA,+1142%,+45%,+5%,+54%,+41%
Big 3 number of subscribers estimate at end of period,,,,,,Unknown,Unknown,Unknown,Unknown,"32,369","51,907","81,700"
Year on year growth rate,,,,,,NA,NA,NA,NA,NA,+60%,+57%
,,,,,,,,,,,,
,,,,,,,,,,,,
Job board,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total core FTE direct only,,,,,,0.0,0.3,0.7,1.3,1.4,1.4,1.4
Year on year growth rate,,,,,,NA,+3000%,+126%,+86%,+8%,,
Vacancies published ,,,,,,Unknown,Unknown,344,"1,251","1,820","3,216","4,317"
Year on year growth rate,,,,,,NA,NA,NA,+264%,+45%,+77%,+34%
Number of job board users (that have clicked on a vacancy),,,,,,Unknown,Unknown,Unknown,"32,651","35,929","45,752","85,207"
Year on year growth rate,,,,,,NA,NA,NA,NA,+10%,+27%,+86%
Number of newsletters sent out,,,,,,Unknown,3,7,15,12,31,34
Year on year growth rate,,,,,,NA,NA,+133%,+114%,-20%,+158%,+10%
Vacancy clicks ,,,,,,Unknown,Unknown,"42,421","82,918","107,742","163,163","317,348"
Year on year growth rate,,,,,,NA,NA,NA,+95%,+30%,+51%,+94%
Avg clicks per user,,,,,,Unknown,Unknown,Unknown,2.54,3.00,3.57,3.72
Year on year change,,,,,,NA,NA,NA,NA,+18%,+19%,+4%
,,,,,,,,,,,,
One-on-one,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total core FTE direct only advising,,0.1,0.4,0.7,0.2,0.2,1.7,2.1,1.7,2.2,3.4,4.8
Total core FTE direct headhunting,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9,1.8,0.3,0.6
Total core FTE both,,0.1,0.4,0.7,0.2,0.2,1.8,2.6,3.5,4.0,3.7,5.3
Year on year growth rate,,NA,+400%,+78%,-68%,-26%,+947%,+45%,+37%,+12%,-8%,+46%
Number of advising applications,,Unknown,Unknown,Unknown,Unknown,Unknown,"1,292",636,780,909,"2,193","5,663"
Year on year growth rate,,NA,NA,NA,NA,NA,NA,-51%,+23%,+17%,+141%,+158%
Number of headhunting calls,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,30,347,187,0,0
Year on year growth rate,,NA,NA,NA,NA,NA,NA,NA,+1057%,-46%,-100%,NA
Number of advising calls,,34,78,28,139,100,269,203,222,284,831,"1,425"
Year on year growth rate,,NA,+129%,-64%,+396%,-28%,+169%,-25%,+9%,+28%,+193%,+71%
Total number of one-on-one calls,,34,78,28,139,100,269,233,569,471,831,"1,425"
Year on year growth rate,,NA,+129%,-64%,+396%,-28%,+169%,-13%,+144%,-17%,+76%,+71%
Advising calls per application,,NA,NA,NA,NA,NA,0.21,0.32,0.28,0.31,0.38,0.25
Year on year growth rate,,NA,NA,NA,NA,NA,NA,+53%,-11%,+10%,+21%,-34%
Fraction of calls worth having,,NA,NA,NA,NA,NA,NA,NA,NA,67%,73%,70%
Year on year change,,NA,NA,NA,NA,NA,NA,NA,NA,NA,+9%,-4%
Average usefulness rating 1-7,,NA,NA,NA,NA,NA,5.86,5.89,5.79,6.37,5.97,5.88
Year on year change,,NA,NA,NA,NA,NA,NA,+1%,-2%,+10%,-6%,-2%
,,,,,,,,,,,,
