Web and marketing,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Total core FTE web only,0.44,0.52,0.69,0.69,0.62,0.54,0.54,0.65,0.49,0.49,0.52,0.59,0.40,0.40,0.40,0.55,0.63,0.63,0.63,0.63,0.55,0.55,0.63,0.88,1.14,1.24,1.08,1.25
Total core FTE marketing only,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.05,0.05,0.21,0.25,0.25,0.33
Total core FTE research only,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.02,0.02,0.03,0.05,0.06,0.06,0.06,0.07,0.11,0.11,0.11,0.11,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00
Total core FTE,0.46,0.55,0.71,0.71,0.65,0.58,0.58,0.68,0.51,0.51,0.56,0.64,0.46,0.46,0.46,0.62,0.73,0.73,0.73,0.73,0.67,0.66,0.72,0.97,1.35,1.49,1.33,1.58
Growth rate,NA,+18%,+31%,+0%,-9%,-11%,0%,+18%,-25%,+0%,+8%,+15%,-29%,+0%,+0%,+36%,+18%,+0%,+0%,+0%,-9%,-1%,+10%,+34%,+39%,+10%,-11%,+19%
Unique visitors,"190,377","255,980","253,591","278,924","294,286","503,090","442,047","396,879","416,370","430,184","429,942","407,989","365,642","397,631","408,392","377,651","422,184","577,124","378,968","344,274","332,457","340,254","313,115","317,432","366,529","411,108","611,483","639,417"
Growth rate,NA,+34%,-1%,+10%,+6%,+71%,-12%,-10%,+5%,+3%,+0%,-5%,-10%,+9%,+3%,-8%,+12%,+37%,-34%,-9%,-3%,+2%,-8%,+1%,+15%,+12%,+49%,+5%
Number of articles released,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2,11,9,5,9,7,8,14
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+450%,-18%,-44%,+80%,-22%,+14%,+75%
Site engagement hours,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"17,282","30,663","39,486","38,569","37,003","27,429","24,953","21,144","26,170","26,145","34,467","25,208","22,917","22,914","20,854","21,308","21,744","24,150","26,856","34,174","34,466"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+29%,-2%,-4%,-26%,-9%,-15%,+24%,+0%,+32%,-27%,-9%,-0%,-9%,+2%,+2%,+11%,+11%,+27%,+1%
New newsletter subscribers ,"7,796","13,887","16,573","41,901","20,058","24,716","19,291","22,545","15,427","20,305","14,626","14,029","12,471","7,571","6,388","6,595","8,268","10,742","6,633","6,278","7,259","7,902","6,582","12,106","17,212","30,948","54,602","68,116"
Growth rate,NA,+78%,+19%,+153%,-52%,+23%,-22%,+17%,-32%,+32%,-28%,-4%,-11%,-39%,-16%,+3%,+25%,+30%,-38%,-5%,+16%,+9%,-17%,+84%,+42%,+80%,+76%,+25%
Total newsletter subscribers at end of period,Unknown,Unknown,"67,010","89,804","106,314","122,736","136,315","149,151","158,673","171,260","178,469","182,427","186,682","186,577","182,032","178,630","176,393","179,155","177,769","179,337","179,605","164,320","164,543","170,725","179,950","199,276","233,658","279,037"
Growth rate,NA,NA,NA,+34%,+18%,+15%,+11%,+9%,+6%,+8%,+4%,+2%,+2%,-0%,-2%,-2%,-1%,+2%,-1%,+1%,+0%,-9%,+0%,+4%,+5%,+11%,+17%,+19%
# of pubs in units,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.5,8.25,14,5,6,3.75,14,4.2
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+20%,-38%,+273%,-70%
# of promos in units,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2,4.5,3,5,8,4.25,7.75,1.25
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,-47%,82%,-84%
# of web hits (stage 1 of funnel),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"581,771","624,927","626,494","640,777","708,176","930,664","627,279","594,958","574,980","584,043","562,074","587,486","664,005","722,964","1,040,681","1,361,372"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+2%,-4%,+5%,+13%,+9%,+44%,+31%
# of hits > 30 sec (countermetric),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"306,641","334,425","303,404","340,338","361,486","529,998","336,380","301,992","292,756","289,924","273,439","264,569","296,917","331,622","394,604","434,128"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1%,-6%,-3%,+12%,+12%,+19%,+10%
# of eng hours on site as a whole (stage 3 of funnel),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"27,428","24,953","21,144","26,170","26,145","34,467","25,208","22,917","22,914","20,854","21,308","21,744","24,150","26,360","34,174","34,466"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9%,-15%,+24%,-0%,+32%,-27%,-9%,-0%,-9%,+2%,+2%,+11%,+9%,+30%,+1%
# of eng hours on core core content (countermetric),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,19214,"14,715","12,002","15,575","15,683","17,728","15,571","15,653","17,177","12,319","12,679","13,892","14,402","14,534","17,933","18,607"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23%,-18%,+30%,+1%,+13%,-12%,+1%,+10%,-28%,+3%,+10%,+4%,+1%,+23%,+4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podcast,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Total core FTE direct only,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.16,0.24,0.24,0.25,0.27,0.30,0.30,0.30,0.38,0.38,0.38,0.38,0.38,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.50
